State/UT,Type,Taxi Apps,Taxi App Links,Hotel Apps,Hotel App Links,Emergency Apps,Emergency App Links,Tourism Apps,Tourism App Links,Food Apps,Food App Links,Famous Food 1,Famous Food 2,Famous Food 3,🛍 Famous Purchases,Special Feature 1,Special Feature 2,Special Feature 3
Andhra Pradesh,State,"Ola, Uber, Rapido","https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://www.uber.com/in/en/download/ | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, Trivago, MakeMyTrip","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.trivago.in | https://www.makemytrip.com/hotels/","112 India, AP Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: AP Police App","Andhra Pradesh Tourism, Incredible India, Google Maps","https://tourism.ap.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Andhra Meals","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Andhra Meals",Andhra Biryani,Pulihora,Gongura Pachadi,"Kalamkari textiles, Kondapalli wooden toys, Venkatgiri sarees, Pochampalli silk sarees, Bidriware, Brass handicrafts",Tirupati Temple,Araku Valley,Amaravati Stupa
Arunachal Pradesh,State,"Rapido, Arunachal Taxi Service","https://play.google.com/store/apps/details?id=com.rapido.passenger | Play Store Search: Arunachal Taxi Service","OYO, MakeMyTrip, Goibibo","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.makemytrip.com/hotels/ | https://www.goibibo.com/","112 India, Arunachal Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Arunachal Police App","Arunachal Tourism, Incredible India, Google Maps","https://arunachaltourism.com/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Arunachal Flavors","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Arunachal Flavors",Thukpa,Apong (rice beer),Pika Pila,"Bamboo baskets, Cane bags, Wooden masks, Traditional shawls, Thangka paintings, Tribal jewelry, Handmade pottery",Tawang Monastery,Sela Pass,Ziro Valley Festival
Assam,State,"Uber, Rapido, Ola","https://www.uber.com/in/en/download/ | https://play.google.com/store/apps/details?id=com.rapido.passenger | https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365","OYO, Trivago, Goibibo","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.trivago.in | https://www.goibibo.com/","112 India, Assam Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Assam Police App","Assam Tourism, Incredible India, Google Maps","https://assamtourism.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Assam Kitchen","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Assam Kitchen",Assamese Thali,Pitha,Fish Tenga,"Assam tea, Muga silk sarees, Mekhela Chadar, Pat silk textiles, Gamocha, Bamboo crafts, Brass metalwork",Kaziranga National Park,Majuli Island,Bihu Festival
Bihar,State,"Uber, Ola, Rapido","https://www.uber.com/in/en/download/ | https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, Goibibo, MakeMyTrip","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.goibibo.com/ | https://www.makemytrip.com/hotels/","112 India, Bihar Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Bihar Police App","Bihar Tourism, Incredible India, Google Maps","https://tourism.bihar.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Bihari Rasoi","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Bihari Rasoi",Litti Chokha,Sattu Paratha,Khaja,"Madhubani paintings, Bhagalpuri silk sarees, Patna Qalam miniatures, Khadi products, Stone artwork, Manjusha art",Bodh Gaya,Nalanda University Ruins,Vikramshila University
Chhattisgarh,State,"Rapido, Uber, Ola","https://play.google.com/store/apps/details?id=com.rapido.passenger | https://www.uber.com/in/en/download/ | https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365","OYO, Trivago, MakeMyTrip","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.trivago.in | https://www.makemytrip.com/hotels/","112 India, Chhattisgarh Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Chhattisgarh Police App","Chhattisgarh Tourism, Incredible India, Google Maps","https://www.chhattisgarhtourism.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Chhattisgarhi Cuisine","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Chhattisgarhi Cuisine",Chila,Faraa,Dehati Chicken,"Dhokra metal crafts, Bell metal utensils, Tussar silk sarees, Pithora paintings, Tribal accessories, Herbal cosmetics",Chitrakote Waterfalls,Barnawapara Wildlife Sanctuary,Sirpur Temples
Goa,State,"GoaMiles, Uber, Ola","Play Store Search: GoaMiles | https://www.uber.com/in/en/download/ | https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365","OYO, Trivago, Goibibo","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.trivago.in | https://www.goibibo.com/","112 India, Goa Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Goa Police App","Goa Tourism, Incredible India, Google Maps","https://www.goatourism.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Goan Delights","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Goan Delights",Goan Fish Curry,Bebinca,Vindaloo,"Coconut shell crafts, Shell jewelry, Cashews, Feni liqueur, Hemp bags, Beach wear, Bamboo handicrafts, Spices",Beaches of North & South Goa,Basilica of Bom Jesus,Goa Carnival
Gujarat,State,"Uber, Ola, Rapido","https://www.uber.com/in/en/download/ | https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, MakeMyTrip, Trivago","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.makemytrip.com/hotels/ | https://www.trivago.in","112 India, Gujarat Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Gujarat Police App","Gujarat Tourism, Incredible India, Google Maps","https://www.gujarattourism.com/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Gujarati Rasoi","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Gujarati Rasoi",Dhokla,Thepla,Undhiyu,"Patola silk sarees, Bandhani textiles, Kutch embroidery, Traditional pottery, Khakhras, Handmade torans, Mirror work fabrics",Gir National Park,Somnath Temple,Rann of Kutch Festival
Haryana,State,"Uber, Ola, Rapido","https://www.uber.com/in/en/download/ | https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, Goibibo, Trivago","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.goibibo.com/ | https://www.trivago.in","112 India, Haryana Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Haryana Police App","Haryana Tourism, Incredible India, Google Maps","https://haryanatourism.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Haryana Rasoi","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Haryana Rasoi",Bajra Khichdi,Besan Masala Roti,Kachri ki Sabzi,"Traditional dupattas, Terracotta pottery, Glass bangles, Metal bangles, Wooden handicrafts, Shawls, Local pickles",Kurukshetra,Sultanpur Bird Sanctuary,Surajkund Mela
Himachal Pradesh,State,"Ola, Uber, Rapido","https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://www.uber.com/in/en/download/ | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, Trivago, Goibibo","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.trivago.in | https://www.goibibo.com/","112 India, HP Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: HP Police App","Himachal Tourism, Incredible India, Google Maps","https://hptdc.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Pahadi Rasoi","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Pahadi Rasoi",Siddu,Madra,Chana Madra,"Kullu shawls, Himachali caps, Pashmina stoles, Wooden carvings, Chamba rumal, Silver jewelry, Local honey, Saffron",Shimla,Manali,Spiti Valley
Jharkhand,State,"Uber, Ola, Rapido","https://www.uber.com/in/en/download/ | https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, Goibibo, MakeMyTrip","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.goibibo.com/ | https://www.makemytrip.com/hotels/","112 India, Jharkhand Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Jharkhand Police App","Jharkhand Tourism, Incredible India, Google Maps","https://jharkhandtourism.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Jharkhand Rasoi","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Jharkhand Rasoi",Thekua,Rugra,Dhuskas,"Dokra artifacts, Tussar silk, Tribal paintings, Bamboo crafts, Lac bangles, Handloom textiles, Stone sculptures",Dassam Falls,Betla National Park,Baidhyanath Temple
Karnataka,State,"Ola, Uber, Rapido","https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://www.uber.com/in/en/download/ | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, Trivago, Goibibo","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.trivago.in | https://www.goibibo.com/","112 India, Karnataka Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Karnataka Police App","Karnataka Tourism, Incredible India, Google Maps","https://karnatakatourism.org/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Karnataka Flavors","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Karnataka Flavors",Bisi Bele Bath,Mysore Pak,Ragi Mudde,"Mysore silk sarees, Sandalwood products, Rosewood crafts, Channapatna toys, Coffee beans, Udupi sarees, Bidriware",Hampi,Mysore Palace,Coorg Coffee Plantations
Kerala,State,"Ola, Uber, Kerala Taxi","https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://www.uber.com/in/en/download/ | Play Store Search: Kerala Taxi","OYO, Goibibo, Trivago","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.goibibo.com/ | https://www.trivago.in","112 India, Kerala Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Kerala Police App","Kerala Tourism, Incredible India, Google Maps","https://www.keralatourism.org/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Kerala Sadhya","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Kerala Sadhya",Appam with Stew,Kerala Sadya,Puttu & Kadala Curry,"Spices (cardamom, pepper), Coir products, Kasavu sarees, Aranmula mirrors, Teak wood furniture, Ayurvedic oils, Banana chips",Backwaters of Alleppey,Munnar Tea Plantations,Kathakali Dance
Madhya Pradesh,State,"Uber, Ola, Rapido","https://www.uber.com/in/en/download/ | https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, MakeMyTrip, Trivago","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.makemytrip.com/hotels/ | https://www.trivago.in","112 India, MP Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: MP Police App","MP Tourism, Incredible India, Google Maps","https://www.mptourism.com/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, MP Rasoi","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: MP Rasoi",Poha Jalebi,Bhutte ka Kees,Bafla,"Chanderi silk sarees, Maheshwari sarees, Gond paintings, Zari work, Stone sculptures, Dhokra crafts, Beadwork",Khajuraho Temples,Sanchi Stupa,Kanha National Park
Maharashtra,State,"Uber, Ola, Rapido","https://www.uber.com/in/en/download/ | https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, Trivago, MakeMyTrip","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.trivago.in | https://www.makemytrip.com/hotels/","112 India, Maharashtra Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Maharashtra Police App","Maharashtra Tourism, Incredible India, Google Maps","https://www.maharashtratourism.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Mumbai Street Food","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Mumbai Street Food",Vada Pav,Misal Pav,Puran Poli,"Paithani sarees, Warli paintings, Kolhapuri chappals, Himroo shawls, Ajrakh prints, Narayan pet textiles, Pune leather goods",Ajanta-Ellora Caves,Gateway of India,Shirdi Temple
Manipur,State,"Rapido, Manipur Cab Service","https://play.google.com/store/apps/details?id=com.rapido.passenger | Play Store Search: Manipur Cab Service","OYO, Goibibo, Trivago","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.goibibo.com/ | https://www.trivago.in","112 India, Manipur Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Manipur Police App","Manipur Tourism, Incredible India, Google Maps","https://manipurtourism.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Manipuri Rasoi","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Manipuri Rasoi",Eromba,Chamthong,Singju,"Handwoven textiles, Kaun reed mats, Manipuri shawls, Tribal jewelry, Bamboo crafts, Traditional dolls, Pottery",Loktak Lake,Kangla Fort,Keibul Lamjao National Park
Meghalaya,State,"Rapido, Uber, Ola","https://play.google.com/store/apps/details?id=com.rapido.passenger | https://www.uber.com/in/en/download/ | https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365","OYO, MakeMyTrip, Trivago","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.makemytrip.com/hotels/ | https://www.trivago.in","112 India, Meghalaya Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Meghalaya Police App","Meghalaya Tourism, Incredible India, Google Maps","https://megtourism.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Meghalaya Flavors","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Meghalaya Flavors",Jadoh,Tungrymbai,Nakham Bitchi,"Bamboo products, Cane furniture, Traditional shawls, Khasi textiles, Handwoven baskets, Local honey, Tribal accessories",Living Root Bridges,Shillong Peak,Cherrapunji Waterfalls
Mizoram,State,"Rapido, Mizoram Taxi Service","https://play.google.com/store/apps/details?id=com.rapido.passenger | Play Store Search: Mizoram Taxi Service","OYO, Goibibo, Trivago","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.goibibo.com/ | https://www.trivago.in","112 India, Mizoram Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Mizoram Police App","Mizoram Tourism, Incredible India, Google Maps","https://mizotourism.nic.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Mizo Cuisine","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Mizo Cuisine",Bai,Vawksa Rep,Arsa Buhchiar,"Bamboo crafts, Traditional textiles, Tribal jewelry, Handwoven bags, Cane products, Local handicrafts, Tribal costumes",Phawngpui Hills,Aizawl,Murlen National Park
